# L=200000, N=100000, PBC, precision=1000, alpha=2.0 
# l    S1    S1_OP    S_alpha    S_alpha_OP(1)    sigma2 H2 navge_alpha S_alpha_OP(3) S_alpha_OP(4) S_alpha_OP(5) 
2214 3.293518473935454E+00 1.869390265699150E+00 2.502872546141459E+00 1.221858673721278E+00 1.010447524850516E+00 1.271804950984221E+00 1.107000000000000E+03 1.221535444864868E+00 1.221535444864868E+00 1.221698516537054E+00 
2446 3.326721387797690E+00 1.897623618262523E+00 2.527779622656155E+00 1.241876062281998E+00 1.020540000882818E+00 1.276757795383897E+00 1.223000000000000E+03 1.241557029393396E+00 1.241557029393396E+00 1.241717978303203E+00 
2704 3.360129213079730E+00 1.926080579806328E+00 2.552839945152288E+00 1.262064992714846E+00 1.030694762444727E+00 1.281691896558261E+00 1.352000000000000E+03 1.261750111119970E+00 1.261750111119970E+00 1.261908959905892E+00 
2988 3.393397754557206E+00 1.954467146279758E+00 2.577795364223573E+00 1.282216672377914E+00 1.040807186735943E+00 1.286557269442192E+00 1.494000000000000E+03 1.281905855450786E+00 1.281905855450786E+00 1.282062647977708E+00 
3302 3.426678702863241E+00 1.982911539197624E+00 2.602759708630391E+00 1.302421813124307E+00 1.050923382199833E+00 1.291377335776716E+00 1.651000000000000E+03 1.302114994209245E+00 1.302114994209245E+00 1.302269764241438E+00 
3650 3.460045140793912E+00 2.011475519337916E+00 2.627787833087370E+00 1.322724106703172E+00 1.061065563328894E+00 1.296163406907119E+00 1.825000000000000E+03 1.322421228679641E+00 1.322421228679641E+00 1.322574005159771E+00 
4034 3.493348441470159E+00 2.040031015634058E+00 2.652768285445908E+00 1.343032310358006E+00 1.071188553037252E+00 1.300895021626332E+00 2.017000000000000E+03 1.342733299547741E+00 1.342733299547741E+00 1.342884119795771E+00 
4458 3.526613002483014E+00 2.068597883094083E+00 2.677719397016142E+00 1.363360270560537E+00 1.081299767239786E+00 1.305576728172299E+00 2.229000000000000E+03 1.363065057489576E+00 1.363065057489576E+00 1.363213956699386E+00 
4927 3.559895994528246E+00 2.097224346275631E+00 2.702730495680280E+00 1.383742079791774E+00 1.091416585891057E+00 1.310283327603301E+00 2.463500000000000E+03 1.383450605320945E+00 1.383450605320945E+00 1.383597613840168E+00 
5445 3.593144805207656E+00 2.125864316970227E+00 2.727664899999215E+00 1.404144710455554E+00 1.101523012144755E+00 1.314870382568368E+00 2.722500000000000E+03 1.403856904828773E+00 1.403856904828773E+00 1.404002057553376E+00 
6018 3.626407126961011E+00 2.154558051858797E+00 2.752571624523077E+00 1.424596629845592E+00 1.111633543933052E+00 1.319363967368098E+00 3.009000000000000E+03 1.424312431104660E+00 1.424312431104660E+00 1.424455759166833E+00 
6651 3.659634538642844E+00 2.183262977215040E+00 2.777528401011283E+00 1.445067287270458E+00 1.121733467193860E+00 1.323920270568523E+00 3.325500000000000E+03 1.444786634775604E+00 1.444786634775604E+00 1.444928169448671E+00 
7350 3.692811307661336E+00 2.211964604833687E+00 2.802378193358590E+00 1.465546122122155E+00 1.131817994573793E+00 1.328331647077639E+00 3.674999999999999E+03 1.465268948130632E+00 1.465268948130632E+00 1.465408723277813E+00 
8124 3.726021079105361E+00 2.240734545026343E+00 2.827286998941200E+00 1.486084037323315E+00 1.141912554681884E+00 1.332756863178771E+00 4.061999999999999E+03 1.485810288465566E+00 1.485810288465566E+00 1.485948331361149E+00 
8978 3.759138799522833E+00 2.269463660395780E+00 2.852126622438498E+00 1.506602918783555E+00 1.151979134527276E+00 1.337131140073543E+00 4.488999999999999E+03 1.506332528482763E+00 1.506332528482763E+00 1.506468872852554E+00 
9922 3.792219660880701E+00 2.298198926179681E+00 2.876938474568453E+00 1.527136087401594E+00 1.162034510676443E+00 1.341462672057167E+00 4.960999999999999E+03 1.526868996033399E+00 1.526868996033399E+00 1.527003672085889E+00 
10966 3.825268549967753E+00 2.326943812489797E+00 2.901726232193855E+00 1.547685825252051E+00 1.172080168270861E+00 1.345752874779189E+00 5.482999999999999E+03 1.547421974863894E+00 1.547421974863894E+00 1.547555011960897E+00 
12119 3.858227849743934E+00 2.355647364377817E+00 2.926465659393951E+00 1.568215491120882E+00 1.182098594424938E+00 1.350022160551547E+00 6.059499999999999E+03 1.567954819874321E+00 1.567954819874321E+00 1.568086249421632E+00 
13394 3.891124872574972E+00 2.384332499896630E+00 2.951120350837244E+00 1.588741255774511E+00 1.192098089959489E+00 1.354193758415982E+00 6.696999999999999E+03 1.588483704398641E+00 1.588483704398641E+00 1.588613556261237E+00 
14802 3.923897369019194E+00 2.412944040455932E+00 2.975700527717662E+00 1.609223407139270E+00 1.202059734375849E+00 1.358341772326884E+00 7.400999999999998E+03 1.608968913269779E+00 1.608968913269779E+00 1.609097219116015E+00 
16359 3.956568254090064E+00 2.441501056114023E+00 3.000218539682735E+00 1.629675358761717E+00 1.211990492824892E+00 1.362463153762710E+00 8.179499999999998E+03 1.629423863425964E+00 1.629423863425964E+00 1.629550653174888E+00 
18080 3.989094516400458E+00 2.469965012503272E+00 3.024599771764712E+00 1.650069274308640E+00 1.221877290859754E+00 1.366492927637076E+00 9.039999999999998E+03 1.649820715265824E+00 1.649820715265824E+00 1.649946020343715E+00 
19981 4.021421886112377E+00 2.498287359453410E+00 3.048857514764317E+00 1.670370098124861E+00 1.231703632841346E+00 1.370502519150151E+00 9.990499999999998E+03 1.670124410854773E+00 1.670124410854773E+00 1.670248264015466E+00 
22083 4.053543015834921E+00 2.526460542507810E+00 3.072947828283932E+00 1.690572132104911E+00 1.241467285551140E+00 1.374437201805170E+00 1.104150000000000E+04 1.690329252512814E+00 1.690329252512814E+00 1.690451686171959E+00 
24406 4.085389604711795E+00 2.554423464775000E+00 3.096822694466530E+00 1.710631261344507E+00 1.251147487745676E+00 1.378294348348656E+00 1.220300000000000E+04 1.710391121300308E+00 1.710391121300308E+00 1.710512169927167E+00 
26972 4.116885877173139E+00 2.582108236543945E+00 3.120445331051365E+00 1.730498439257911E+00 1.260721206454696E+00 1.382094770784097E+00 1.348600000000000E+04 1.730260966453954E+00 1.730260966453954E+00 1.730380666678976E+00 
29809 4.147984824801934E+00 2.609472061250903E+00 3.143777882546677E+00 1.750142577852021E+00 1.270174153071333E+00 1.385830552643160E+00 1.490450000000000E+04 1.749907698179263E+00 1.749907698179263E+00 1.750026087529344E+00 
32944 4.178576188731613E+00 2.636416290545154E+00 3.166713801964004E+00 1.769492441466057E+00 1.279472812544744E+00 1.389455941451923E+00 1.647200000000000E+04 1.769260073826305E+00 1.769260073826305E+00 1.769377193306587E+00 
36409 4.208550479720283E+00 2.662842636021394E+00 3.189201462915239E+00 1.788476971811754E+00 1.288583904507348E+00 1.393003432491938E+00 1.820450000000000E+04 1.788247029192730E+00 1.788247029192730E+00 1.788362922858739E+00 
40238 4.237758499631444E+00 2.688617463773634E+00 3.211101124218464E+00 1.806999630270723E+00 1.297462077526083E+00 1.396417591783617E+00 2.011900000000000E+04 1.806772016423913E+00 1.806772016423913E+00 1.806886732941424E+00 
44470 4.266026986776802E+00 2.713585493967124E+00 3.232302736236852E+00 1.824948219685280E+00 1.306054667143847E+00 1.399708990422840E+00 2.223500000000000E+04 1.824722828210828E+00 1.824722828210828E+00 1.824836421410063E+00 
