# logL =3000,NumOfEigs=16812,alpha=10.0, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
236 2.650206246602126E-47714 3.155243087558149E-477121 0.000000000000000E+00 
237 2.249015990924640E-47702 6.111692914215540E-477002 0.000000000000000E+00 
238 1.897016519056799E-47690 1.114159116358334E-476882 0.000000000000000E+00 
239 1.590459699856623E-47678 1.911889475247299E-476763 0.000000000000000E+00 
240 1.325422798379102E-47666 3.088733629147107E-476644 0.000000000000000E+00 
241 1.097927279107710E-47654 4.698636500387710E-476525 0.000000000000000E+00 
242 9.040390390868238E-47643 6.731439411612045E-476406 0.000000000000000E+00 
243 7.399498752589313E-47631 9.083623059907197E-476287 0.000000000000000E+00 
244 6.020407673614141E-47619 1.154768948779575E-476167 0.000000000000000E+00 
245 4.869281684906848E-47607 1.383200319171028E-476048 0.000000000000000E+00 
246 3.914949396512581E-47595 1.561340480758737E-475929 0.000000000000000E+00 
247 3.129078513720328E-47583 1.661118807999455E-475810 0.000000000000000E+00 
248 2.486237208947440E-47571 1.665949026898318E-475691 0.000000000000000E+00 
249 1.963862782786809E-47559 1.575242751828726E-475572 0.000000000000000E+00 
250 1.542157822445597E-47547 1.404508275265188E-475453 0.000000000000000E+00 
251 1.203932604795245E-47535 1.181021632277353E-475334 0.000000000000000E+00 
252 9.344105223578527E-47524 9.367275529640408E-475216 0.000000000000000E+00 
253 7.210110402579282E-47512 7.008986747140716E-475097 0.000000000000000E+00 
254 5.531222978956086E-47500 4.948205816950075E-474978 0.000000000000000E+00 
255 4.218730951558607E-47488 3.296509894404885E-474859 0.000000000000000E+00 
256 3.199117595489245E-47476 2.072708058964527E-474740 0.000000000000000E+00 
257 2.411973552767533E-47464 1.230159729220275E-474621 0.000000000000000E+00 
258 1.808069158218251E-47452 6.892653906723998E-474503 0.000000000000000E+00 
259 1.347608810300489E-47440 3.646485637047225E-474384 0.000000000000000E+00 
260 9.986770022196524E-47429 1.821740781751419E-474265 0.000000000000000E+00 
261 7.358761160822475E-47417 8.595737930788247E-474147 0.000000000000000E+00 
262 5.391490143974975E-47405 3.831106697241311E-474028 0.000000000000000E+00 
263 3.927745350559816E-47393 1.613129833211732E-473909 0.000000000000000E+00 
264 2.845208727465379E-47381 6.417670463438917E-473791 0.000000000000000E+00 
265 2.049401723951746E-47369 2.412720771210704E-473672 0.000000000000000E+00 
266 1.467871458139427E-47357 8.572674830013423E-473554 0.000000000000000E+00 
267 1.045448586981583E-47345 2.879140712898274E-473435 0.000000000000000E+00 
268 7.404176704194521E-47334 9.141213231685837E-473317 0.000000000000000E+00 
269 5.214539733374115E-47322 2.744074520187453E-473198 0.000000000000000E+00 
270 3.651959260294616E-47310 7.789244421770137E-473080 0.000000000000000E+00 
271 2.543385467233579E-47298 2.091018837744243E-472961 0.000000000000000E+00 
272 1.761490489074380E-47286 5.309322635174031E-472843 0.000000000000000E+00 
273 1.213209409343977E-47274 1.275245472696081E-472724 0.000000000000000E+00 
274 8.309675008407864E-47263 2.897853857045297E-472606 0.000000000000000E+00 
275 5.660183597542327E-47251 6.230763626811176E-472488 0.000000000000000E+00 
276 3.834251322785715E-47239 1.267774032134031E-472369 0.000000000000000E+00 
277 2.583089995813073E-47227 2.441357979665557E-472251 0.000000000000000E+00 
278 1.730663710842047E-47215 4.450030262955117E-472133 0.000000000000000E+00 
279 1.153201689852935E-47203 7.678719304314768E-472015 0.000000000000000E+00 
280 7.642271984338568E-47192 1.254472052574823E-471896 0.000000000000000E+00 
281 5.036971705904532E-47180 1.940578449738291E-471778 0.000000000000000E+00 
282 3.301805293837656E-47168 2.842828666781739E-471660 0.000000000000000E+00 
283 2.152649987451447E-47156 3.944303280049849E-471542 0.000000000000000E+00 
284 1.395855440783953E-47144 5.183707982427743E-471424 0.000000000000000E+00 
285 9.002384077692214E-47133 6.453740049751294E-471306 0.000000000000000E+00 
286 5.774703300859491E-47121 7.612597111268291E-471188 0.000000000000000E+00 
287 3.684357738698283E-47109 8.508519766190756E-471070 0.000000000000000E+00 
288 2.338076872353550E-47097 9.012057438069418E-470952 0.000000000000000E+00 
289 1.475793248114392E-47085 9.046722769718060E-470834 0.000000000000000E+00 
290 9.265456410001216E-47074 8.608039741916010E-470716 0.000000000000000E+00 
291 5.786120456566990E-47062 7.764451784441609E-470598 0.000000000000000E+00 
292 3.594117194307717E-47050 6.639852511629191E-470480 0.000000000000000E+00 
293 2.220679215096768E-47038 5.383867564032481E-470362 0.000000000000000E+00 
294 1.364812327769546E-47026 4.139667478093375E-470244 0.000000000000000E+00 
295 8.343690998712263E-47015 3.018687880291768E-470126 0.000000000000000E+00 
296 5.073951025038802E-47003 2.087847630660444E-470008 0.000000000000000E+00 
297 3.069316663929373E-46991 1.369787074195133E-469890 0.000000000000000E+00 
298 1.846924069900560E-46979 8.525630443137720E-469773 0.000000000000000E+00 
299 1.105535825005339E-46967 5.034592170874917E-469655 0.000000000000000E+00 
300 6.582903974804952E-46956 2.821053300406008E-469537 0.000000000000000E+00 
301 3.899308466618771E-46944 1.500071701921606E-469419 0.000000000000000E+00 
302 2.297668971505806E-46932 7.570258078785701E-469302 0.000000000000000E+00 
303 1.346857067345324E-46920 3.626195261012731E-469184 0.000000000000000E+00 
304 7.854057944215851E-46909 1.648834633465240E-469066 0.000000000000000E+00 
305 4.556271144287005E-46897 7.117569262974780E-468949 0.000000000000000E+00 
306 2.629494012582366E-46885 2.917144575949421E-468831 0.000000000000000E+00 
307 1.509684661491697E-46873 1.135268315476239E-468713 0.000000000000000E+00 
308 8.622951953590209E-46862 4.195616200027909E-468596 0.000000000000000E+00 
309 4.899881347243004E-46850 1.472623499105364E-468478 0.000000000000000E+00 
310 2.769996442498056E-46838 4.909397579120626E-468361 0.000000000000000E+00 
311 1.557905308913635E-46826 1.554700233684905E-468243 0.000000000000000E+00 
312 8.717164072282843E-46815 4.677225336134114E-468126 0.000000000000000E+00 
313 4.852726223575076E-46803 1.336884829512781E-468008 0.000000000000000E+00 
314 2.687675482328288E-46791 3.630817223358005E-467891 0.000000000000000E+00 
315 1.480990837169256E-46779 9.370436172414236E-467774 0.000000000000000E+00 
316 8.119259503698816E-46768 2.298266117179576E-467656 0.000000000000000E+00 
317 4.428666329363641E-46756 5.357543355094653E-467539 0.000000000000000E+00 
318 2.403399334987954E-46744 1.187122285077075E-467421 0.000000000000000E+00 
319 1.297714853530900E-46732 2.500511445105657E-467304 0.000000000000000E+00 
320 6.971670843190995E-46721 5.007314100287936E-467187 0.000000000000000E+00 
321 3.726512685684230E-46709 9.533714251236242E-467070 0.000000000000000E+00 
322 1.981893480369192E-46697 1.725993600897006E-466952 0.000000000000000E+00 
323 1.048754429392231E-46685 2.971489307497066E-466835 0.000000000000000E+00 
324 5.521879104428015E-46674 4.865248541140864E-466718 0.000000000000000E+00 
325 2.892832807192378E-46662 7.576514034399741E-466601 0.000000000000000E+00 
326 1.507949752625266E-46650 1.122289228743995E-466483 0.000000000000000E+00 
327 7.821340978525047E-46639 1.581423866436056E-466366 0.000000000000000E+00 
328 4.036547565177642E-46627 2.120004756134287E-466249 0.000000000000000E+00 
329 2.072894035090934E-46615 2.704002628159011E-466132 0.000000000000000E+00 
330 1.059219445641946E-46603 3.281674803576035E-466015 0.000000000000000E+00 
331 5.385676005910176E-46592 3.789992274914519E-465898 0.000000000000000E+00 
332 2.724855845653023E-46580 4.165540932766564E-465781 0.000000000000000E+00 
333 1.371827299117899E-46568 4.357430821799265E-465664 0.000000000000000E+00 
334 6.872448587339817E-46557 4.338614735012475E-465547 0.000000000000000E+00 
335 3.425967445372174E-46545 4.112144900284105E-465430 0.000000000000000E+00 
336 1.699488144254004E-46533 3.710372254417607E-465313 0.000000000000000E+00 
337 8.389183624143283E-46522 3.187374511290203E-465196 0.000000000000000E+00 
338 4.120893314662863E-46510 2.607052661247304E-465079 0.000000000000000E+00 
339 2.014357664094976E-46498 2.030495090281097E-464962 0.000000000000000E+00 
340 9.798480972221055E-46487 1.505995336760015E-464845 0.000000000000000E+00 
341 4.743088907484647E-46475 1.063772466448475E-464728 0.000000000000000E+00 
342 2.284796306255203E-46463 7.156669653919008E-464612 0.000000000000000E+00 
343 1.095268927163184E-46451 4.586102530969035E-464495 0.000000000000000E+00 
344 5.224977519242965E-46440 2.799499235382805E-464378 0.000000000000000E+00 
345 2.480514492474970E-46428 1.627997668831108E-464261 0.000000000000000E+00 
346 1.171914900525301E-46416 9.019798865018576E-464145 0.000000000000000E+00 
347 5.509987445602987E-46405 4.761482410372027E-464028 0.000000000000000E+00 
348 2.578152532187399E-46393 2.395091845483173E-463911 0.000000000000000E+00 
349 1.200530759894879E-46381 1.148071698178685E-463794 0.000000000000000E+00 
350 5.563497023592849E-46370 5.244628027618037E-463678 0.000000000000000E+00 
351 2.565874975010048E-46358 2.283447347970813E-463561 0.000000000000000E+00 
352 1.177712660958732E-46346 9.476097718719481E-463445 0.000000000000000E+00 
353 5.379755739164357E-46335 3.748535830892691E-463328 0.000000000000000E+00 
354 2.445728537706248E-46323 1.413574174244548E-463211 0.000000000000000E+00 
355 1.106571611276247E-46311 5.081961077916473E-463095 0.000000000000000E+00 
356 4.982868861471517E-46300 1.741929873534063E-462978 0.000000000000000E+00 
357 2.233115119812121E-46288 5.693079017833369E-462862 0.000000000000000E+00 
358 9.960417205041751E-46277 1.774236008297922E-462745 0.000000000000000E+00 
